word	word_count	mean_sent_length	final_count	solo_count
	60754.0	7.813032886723508	2122.0	258.0
verschwitzt	22.0	17.863636363636363	2.0	0.0
häßlich	3.0	4.333333333333333	2.0	2.0
verderbt	1.0	10.0	1.0	0.0
abschätzen	1.0	14.0	1.0	0.0
musikexpress	1.0	5.0	1.0	0.0
schulrat	3.0	2.6666666666666665	2.0	0.0
schweigt	15.0	12.533333333333333	2.0	0.0
spangen	1.0	16.0	0.0	0.0
wegkickst	1.0	18.0	0.0	0.0
steck'	2.0	3.5	0.0	0.0
sprich	56.0	6.589285714285714	3.0	1.0
einzug	2.0	10.0	1.0	0.0
vernachlässigen	1.0	10.0	1.0	0.0
aufzugeben	2.0	10.0	1.0	0.0
missfallen	1.0	9.0	0.0	0.0
angelächelt	1.0	14.0	0.0	0.0
heftchen	18.0	8.277777777777779	10.0	0.0
stiller	2.0	10.0	0.0	0.0
oh_weih	1.0	1.0	1.0	1.0
gescherzt	1.0	3.0	1.0	0.0
runterpurzelt	1.0	10.0	0.0	0.0
schummelfatz	1.0	3.0	1.0	0.0
tereteti	1.0	10.0	0.0	0.0
übungen	8.0	8.625	3.0	0.0
kahlköpfig	3.0	8.666666666666666	1.0	0.0
vergesse	12.0	8.083333333333334	7.0	0.0
wachsmal	2.0	7.0	1.0	0.0
vorüber	5.0	20.8	3.0	1.0
wnrde	1.0	10.0	1.0	0.0
streichels	2.0	3.5	0.0	0.0
fesselballon	2.0	16.5	0.0	0.0
mathilda	15.0	9.2	6.0	1.0
töppeligkeit	1.0	43.0	0.0	0.0
mariescha	1.0	1.0	1.0	1.0
reinzuschieben	1.0	10.0	1.0	0.0
och_jo	3.0	1.0	3.0	3.0
strassenlaterne	1.0	7.0	0.0	0.0
zahlen	115.0	8.765217391304347	41.0	4.0
wasserspinne	1.0	6.0	1.0	0.0
widerstehen	5.0	7.6	2.0	1.0
potentielle	1.0	20.0	0.0	0.0
hütchenrand	1.0	14.0	0.0	0.0
eingeben	5.0	6.0	5.0	0.0
terö	1.0	2.0	1.0	0.0
jade	1.0	1.0	1.0	1.0
babb	8.0	3.875	3.0	0.0
überholst	1.0	9.0	0.0	0.0
typische	2.0	6.5	0.0	0.0
angehoppelt	1.0	7.0	0.0	0.0
nachlauf	1.0	7.0	0.0	0.0
schwimmt	151.0	7.317880794701987	21.0	2.0
zugedeckt	36.0	6.694444444444445	21.0	1.0
vorhängen	2.0	7.5	1.0	0.0
mutt	4.0	3.0	4.0	1.0
hopa	1.0	2.0	1.0	0.0
fritz_der_lokomotivführer	1.0	3.0	1.0	0.0
spezi	1.0	6.0	0.0	0.0
runtergetreten	2.0	7.5	1.0	0.0
flußpferd	1.0	3.0	1.0	0.0
flache	15.0	8.4	2.0	0.0
festgeklopft	1.0	2.0	1.0	0.0
vorraum	1.0	6.0	1.0	0.0
eroberten	1.0	17.0	0.0	0.0
seerobbe	9.0	5.888888888888889	5.0	1.0
maulwurfspuzzle	2.0	14.5	0.0	0.0
leugnen	2.0	5.5	2.0	0.0
eckteil	11.0	6.818181818181818	6.0	0.0
pinsel	92.0	8.130434782608695	29.0	1.0
bausatz_lokomotivschuppen	1.0	15.0	0.0	0.0
titellumtumtum	1.0	1.0	1.0	1.0
runterlesen	1.0	6.0	1.0	0.0
hippiehaar	1.0	4.0	1.0	0.0
quitsch_quatsch	1.0	6.0	0.0	0.0
raketen	22.0	7.909090909090909	10.0	0.0
reklame	3.0	5.333333333333333	0.0	0.0
töpfen	4.0	10.75	1.0	0.0
getreide	20.0	8.15	6.0	1.0
stachel	33.0	7.909090909090909	15.0	0.0
eul	6.0	7.333333333333333	2.0	0.0
elisabethanischen_zeitalters	1.0	11.0	0.0	0.0
stinkig	10.0	6.7	4.0	0.0
schläppchen	3.0	8.0	0.0	0.0
schenkst	53.0	7.2075471698113205	2.0	0.0
reinrollen	1.0	11.0	1.0	0.0
bubi	96.0	6.333333333333333	40.0	5.0
mönche	2.0	5.5	2.0	0.0
gottseidank	6.0	5.5	1.0	1.0
apfelbonbons	1.0	3.0	0.0	0.0
kuschelecke	4.0	7.75	1.0	0.0
dranhingen	1.0	10.0	0.0	0.0
knocheneiche	1.0	3.0	1.0	0.0
viertens	2.0	10.5	0.0	0.0
thea	1.0	9.0	0.0	0.0
mittelfingers	1.0	10.0	1.0	0.0
collie	4.0	7.25	2.0	0.0
gebun	1.0	4.0	1.0	0.0
wärmflasche	3.0	10.666666666666666	1.0	0.0
roller_strecke	1.0	6.0	1.0	0.0
bollerwagen	4.0	4.75	2.0	0.0
katenbusch	2.0	1.0	2.0	2.0
erni	7.0	25.571428571428573	1.0	0.0
tanken	325.0	4.4	241.0	50.0
rabiat	3.0	5.333333333333333	2.0	0.0
treten	71.0	7.732394366197183	24.0	0.0
gurke	45.0	7.711111111111111	27.0	2.0
begrüssung	1.0	1.0	1.0	1.0
martina	87.0	6.850574712643678	37.0	18.0
autospiel	2.0	10.5	0.0	0.0
hasenwärmflasche	1.0	6.0	1.0	0.0
waschmaschin	1.0	7.0	0.0	0.0
tschirkan	1.0	8.0	0.0	0.0
fritten	3.0	5.666666666666667	1.0	0.0
ausbeißen	1.0	16.0	1.0	0.0
fischfutter	2.0	7.0	1.0	0.0
meeresleiter	1.0	4.0	0.0	0.0
möh	1.0	1.0	1.0	1.0
mantarochen	1.0	7.0	1.0	0.0
ssssum	2.0	1.0	2.0	2.0
bäckergehilfe	1.0	6.0	1.0	0.0
ärztinnen	1.0	6.0	0.0	0.0
fingerfarben	5.0	7.0	1.0	1.0
geschlängel	1.0	8.0	1.0	0.0
geburtstagskind	12.0	7.0	5.0	0.0
lottobud	1.0	13.0	1.0	0.0
doppeldeckerwagen	1.0	2.0	1.0	0.0
hasi_basi	1.0	10.0	1.0	0.0
applaudieren	1.0	5.0	0.0	0.0
nusskrokant	1.0	8.0	0.0	0.0
christina	64.0	6.515625	25.0	11.0
verkleiden	17.0	8.529411764705882	7.0	0.0
medizinfläschchen	2.0	4.0	1.0	0.0
entenhausen	1.0	1.0	1.0	1.0
bohnerbesen	1.0	3.0	0.0	0.0
gestürmt	1.0	12.0	0.0	0.0
bosnien	1.0	7.0	0.0	0.0
stromloks	1.0	11.0	0.0	0.0
bimmelimmelim	10.0	3.4	9.0	8.0
wö	3.0	4.0	0.0	0.0
draufstecken	22.0	6.181818181818182	16.0	1.0
würfeln	238.0	7.239495798319328	135.0	3.0
klackste	1.0	14.0	0.0	0.0
bornagradbahn	1.0	2.0	1.0	0.0
ühühü	2.0	2.5	1.0	1.0
vosichtig	1.0	12.0	0.0	0.0
solchem	2.0	12.5	0.0	0.0
schneehase	3.0	8.0	2.0	0.0
