word	word_count	mean_sent_length	final_count	solo_count
	982.0	4.29938900203666	517.0	324.0
empêcher	1.0	10.0	0.0	0.0
jésus	4.0	6.75	2.0	1.0
bénédicte	10.0	15.7	4.0	1.0
t'énerve	4.0	3.5	1.0	0.0
chausson	34.0	4.705882352941177	26.0	3.0
d'admirer	1.0	4.0	1.0	0.0
signes	4.0	4.5	1.0	0.0
romainville	1.0	7.0	0.0	0.0
rechangé	1.0	3.0	1.0	0.0
qu'aux	1.0	13.0	0.0	0.0
doudou	90.0	5.6	52.0	5.0
aise	2.0	12.0	2.0	0.0
galaxie	2.0	5.0	2.0	0.0
prenais	5.0	13.6	0.0	0.0
raptent	1.0	2.0	1.0	0.0
respectent	1.0	25.0	1.0	0.0
songer	1.0	14.0	1.0	0.0
production	1.0	12.0	0.0	0.0
lits	31.0	8.516129032258064	24.0	0.0
pauvres	12.0	4.166666666666667	3.0	0.0
bambou	1.0	5.0	0.0	0.0
rétrécisse	1.0	5.0	1.0	0.0
lasagnes	7.0	5.857142857142857	6.0	0.0
feuilles	73.0	9.232876712328768	33.0	0.0
bouh	6.0	1.6666666666666667	5.0	5.0
disputent	2.0	6.0	0.0	0.0
prend	197.0	8.908629441624365	17.0	0.0
ranges	40.0	5.5	9.0	0.0
renversent	1.0	3.0	1.0	0.0
patron	1.0	19.0	0.0	0.0
reconnaître	7.0	9.142857142857142	3.0	0.0
chariot	17.0	7.647058823529412	13.0	0.0
déformé	1.0	16.0	0.0	0.0
apprise	1.0	11.0	1.0	0.0
surtaxe	1.0	11.0	1.0	0.0
erreurs	1.0	5.0	1.0	0.0
pon	3.0	10.0	1.0	0.0
servira	1.0	8.0	0.0	0.0
na_na_nère	1.0	8.0	1.0	0.0
brisée	2.0	7.0	1.0	0.0
critères	1.0	6.0	1.0	0.0
superbe	7.0	4.428571428571429	4.0	0.0
bavard	2.0	6.0	1.0	0.0
l'âne	11.0	4.909090909090909	7.0	1.0
correspondent	1.0	16.0	0.0	0.0
meilleure	6.0	12.0	0.0	0.0
retiré	1.0	17.0	0.0	0.0
chiper	8.0	4.375	3.0	1.0
nettoyais	1.0	5.0	1.0	0.0
kissian	1.0	5.0	1.0	0.0
tétine	9.0	5.555555555555555	3.0	0.0
séance	3.0	7.666666666666667	1.0	0.0
aimé	16.0	9.8125	3.0	0.0
youp	5.0	8.0	0.0	0.0
mx	3.0	10.0	0.0	0.0
allo	57.0	3.1052631578947367	22.0	15.0
gentiment	20.0	6.05	12.0	1.0
piquant	2.0	8.5	1.0	0.0
nulle_part	2.0	1.0	2.0	2.0
arachides	3.0	8.0	2.0	0.0
devant	153.0	10.49673202614379	43.0	1.0
chansons	17.0	8.0	5.0	0.0
vouliez	1.0	10.0	0.0	0.0
l'attrape	7.0	5.571428571428571	3.0	0.0
bossent	1.0	14.0	0.0	0.0
drôl	3.0	5.0	0.0	0.0
annoncent	1.0	7.0	0.0	0.0
ballon	179.0	7.871508379888268	104.0	3.0
racle	1.0	7.0	0.0	0.0
l'échafaudage	4.0	7.0	2.0	0.0
peser	10.0	6.8	1.0	0.0
haute	8.0	9.75	3.0	0.0
fins	1.0	6.0	1.0	0.0
joueras	5.0	10.2	1.0	0.0
jardin	78.0	8.538461538461538	56.0	0.0
croquettes	10.0	7.4	4.0	0.0
dégâts	5.0	6.6	2.0	0.0
exploser	2.0	6.5	1.0	0.0
bouscules	1.0	4.0	0.0	0.0
fraîches	1.0	7.0	0.0	0.0
livrer	3.0	19.0	1.0	0.0
profil	1.0	22.0	0.0	0.0
jirbol	2.0	2.5	2.0	1.0
hi	292.0	4.9965753424657535	94.0	5.0
frappe	26.0	4.5	4.0	0.0
réveillés	8.0	14.375	3.0	0.0
surface	4.0	10.25	4.0	0.0
coco_lapin	11.0	4.636363636363637	9.0	0.0
confitures	5.0	8.4	2.0	0.0
intéressants	2.0	15.0	0.0	0.0
j'entourais	2.0	10.0	0.0	0.0
car	18.0	13.5	7.0	0.0
affaires	36.0	8.305555555555555	15.0	0.0
rassoit	1.0	16.0	0.0	0.0
comprenne	3.0	8.666666666666666	1.0	0.0
lessive	5.0	7.4	3.0	0.0
dépose	2.0	14.0	0.0	0.0
réagit	1.0	4.0	0.0	0.0
pirate_des_caraïbes	4.0	1.75	4.0	3.0
poulailler	5.0	9.6	4.0	0.0
peindre	9.0	13.0	1.0	0.0
moumouche	1.0	5.0	1.0	0.0
camoufler	1.0	9.0	0.0	0.0
venue	30.0	11.133333333333333	1.0	0.0
anxieux	1.0	7.0	0.0	0.0
futur	6.0	6.833333333333333	3.0	0.0
cracheur	1.0	8.0	0.0	0.0
radotes	5.0	3.6	3.0	0.0
repos	1.0	12.0	0.0	0.0
popo	3.0	1.6666666666666667	2.0	2.0
douces	2.0	7.5	1.0	0.0
poiss	2.0	9.0	0.0	0.0
dois	136.0	7.676470588235294	1.0	0.0
t'écoute	116.0	4.370689655172414	91.0	0.0
spot	10.0	6.8	9.0	0.0
spider	1.0	25.0	0.0	0.0
nja	1.0	12.0	0.0	0.0
brûlent	3.0	11.333333333333334	0.0	0.0
quotidien	1.0	6.0	0.0	0.0
piqueniqué	1.0	10.0	0.0	0.0
obtiens	1.0	22.0	0.0	0.0
couettes	8.0	7.25	4.0	0.0
expérimentation	1.0	2.0	1.0	0.0
fantom	1.0	5.0	1.0	0.0
serpents	22.0	7.545454545454546	17.0	0.0
dominique	11.0	8.727272727272727	6.0	0.0
vides	6.0	10.166666666666666	0.0	0.0
avancé	1.0	11.0	1.0	0.0
nordistes	1.0	11.0	0.0	0.0
jules	14.0	5.357142857142857	8.0	1.0
grievous	4.0	9.25	3.0	0.0
prononciation	1.0	8.0	1.0	0.0
spatial	2.0	6.5	2.0	0.0
lulu	11.0	4.2727272727272725	3.0	0.0
l'arrache	1.0	5.0	1.0	0.0
pouce	43.0	9.13953488372093	20.0	0.0
tuyaux	7.0	8.428571428571429	2.0	0.0
faudrait	104.0	8.942307692307692	0.0	0.0
recollerai	1.0	3.0	1.0	0.0
en_fait	2.0	14.5	0.0	0.0
m'entraîne	1.0	12.0	0.0	0.0
arrosent	2.0	3.5	1.0	0.0
relevés	1.0	19.0	0.0	0.0
chantage	1.0	14.0	0.0	0.0
vélos	21.0	6.904761904761905	7.0	0.0
elles	426.0	7.938967136150235	5.0	0.0
brioches	2.0	9.5	2.0	0.0
tchou	61.0	4.950819672131147	19.0	2.0
précisément	1.0	17.0	0.0	0.0
hioup	1.0	1.0	1.0	1.0
ruisseau	1.0	6.0	1.0	0.0
trottinettes	1.0	7.0	1.0	0.0
vivants	2.0	8.5	1.0	0.0
chaussette	36.0	6.083333333333333	21.0	1.0
brillant	4.0	8.25	3.0	0.0
continues	15.0	7.133333333333334	5.0	0.0
vétérinaire	1.0	5.0	1.0	0.0
armature	1.0	5.0	1.0	0.0
bande	16.0	10.5	5.0	0.0
m'ennuyais	1.0	8.0	0.0	0.0
gonflée	1.0	4.0	1.0	0.0
drapeaux	8.0	7.125	7.0	0.0
poltron	2.0	4.0	1.0	0.0
obsession	1.0	5.0	1.0	0.0
ingrédients	2.0	10.5	2.0	0.0
marine	22.0	6.545454545454546	13.0	1.0
géants	2.0	10.5	0.0	0.0
sportives	1.0	15.0	0.0	0.0
lépine	1.0	33.0	0.0	0.0
apparaissaient	1.0	40.0	0.0	0.0
cric	1.0	4.0	0.0	0.0
d'interrogation	2.0	17.5	0.0	0.0
attraction	1.0	4.0	0.0	0.0
descendait	2.0	32.0	1.0	0.0
nation	1.0	14.0	0.0	0.0
hibou	89.0	6.831460674157303	53.0	0.0
guili	8.0	5.75	2.0	0.0
tatouage	55.0	8.745454545454546	35.0	1.0
pansement	9.0	11.666666666666666	4.0	0.0
ont	445.0	9.98876404494382	12.0	0.0
laisseront	1.0	5.0	0.0	0.0
s'y	14.0	8.642857142857142	0.0	0.0
noir	128.0	8.1953125	77.0	0.0
rejoue	4.0	3.25	3.0	0.0
continuais	2.0	8.5	0.0	0.0
spritcha	1.0	3.0	0.0	0.0
poireau	14.0	5.714285714285714	8.0	1.0
reconnaîtra	1.0	5.0	1.0	0.0
construction	16.0	11.1875	9.0	0.0
tout_à_l'heure	64.0	8.71875	28.0	2.0
siècle	1.0	10.0	0.0	0.0
smododo	15.0	3.1333333333333333	10.0	0.0
referme	11.0	6.909090909090909	4.0	0.0
prétend	1.0	7.0	0.0	0.0
fada	5.0	2.8	4.0	0.0
lâches	8.0	6.75	5.0	0.0
sardine	2.0	5.5	1.0	0.0
assemble	3.0	8.333333333333334	1.0	0.0
jettes	22.0	6.909090909090909	2.0	0.0
remise	2.0	8.0	0.0	0.0
jaune	325.0	5.990769230769231	212.0	29.0
scotcher	2.0	7.0	0.0	0.0
d'raconter	1.0	11.0	0.0	0.0
frotte	41.0	4.317073170731708	9.0	3.0
l'institut	1.0	25.0	0.0	0.0
sentent	7.0	9.142857142857142	1.0	0.0
sursauter	1.0	6.0	0.0	0.0
daddy	10.0	8.1	4.0	0.0
seule	148.0	8.513513513513514	91.0	0.0
genoux	48.0	7.583333333333333	25.0	0.0
prêts	8.0	5.0	4.0	2.0
l'innocente	1.0	4.0	1.0	0.0
ouhouh	1.0	1.0	1.0	1.0
l'antenne	2.0	7.0	0.0	0.0
trousseau	1.0	14.0	0.0	0.0
gardera	1.0	10.0	0.0	0.0
rattraperais	1.0	25.0	0.0	0.0
tac	14.0	8.214285714285714	4.0	1.0
l'embêter	2.0	4.5	2.0	0.0
fasciné	3.0	9.666666666666666	1.0	0.0
